id,category,mode,activity,scale,skill,Level,Descriptor
oral-comprehension,Communicative language activities,Reception,Oral comprehension,Overall oral comprehension,listening,A1,"Can follow language which is very slow and carefully articulated, with long pauses for them to assimilate meaning."
oral-comprehension,Communicative language activities,Reception,Oral comprehension,Overall oral comprehension,listening,A2,"Can understand phrases and expressions related to areas of most immediate priority (e.g. very basic personal and family information, shopping, local geography, employment), provided people articulate clearly and slowly."
oral-comprehension,Communicative language activities,Reception,Oral comprehension,Overall oral comprehension,listening,B1,"Can understand the main points made in clear standard language on familiar matters regularly encountered at work, school, leisure, etc., including short narratives."
oral-comprehension,Communicative language activities,Reception,Oral comprehension,Overall oral comprehension,listening,B2,Can understand the main ideas of propositionally and linguistically complex discourse on both concrete and abstract topics delivered in standard language.
oral-comprehension,Communicative language activities,Reception,Oral comprehension,Overall oral comprehension,listening,C1,"Can understand enough to follow extended discourse on abstract and complex topics beyond their own field, though they may need to confirm occasional details."
oral-comprehension,Communicative language activities,Reception,Oral comprehension,Overall oral comprehension,listening,C2,"Can understand with ease virtually any kind of language, whether live or broadcast, delivered at fast natural speed."
understanding-conversation,Communicative language activities,Reception,Oral comprehension,Understanding conversation between other people,listening,A1,"Can understand words and short sentences in a simple conversation, provided people communicate very slowly and very clearly."
understanding-conversation,Communicative language activities,Reception,Oral comprehension,Understanding conversation between other people,listening,A2,"Can follow in outline short, simple social exchanges, conducted very slowly and clearly."
understanding-conversation,Communicative language activities,Reception,Oral comprehension,Understanding conversation between other people,listening,B1,"Can generally follow the main points of extended discussion around them, provided it is clearly articulated in standard language."
understanding-conversation,Communicative language activities,Reception,Oral comprehension,Understanding conversation between other people,listening,B2,Can with some effort catch much of what is said around them in discussion.
understanding-conversation,Communicative language activities,Reception,Oral comprehension,Understanding conversation between other people,listening,C1,"Can easily follow complex interactions between third parties in group discussion and debate, even on abstract, complex, unfamiliar topics."
understanding-conversation,Communicative language activities,Reception,Oral comprehension,Understanding conversation between other people,listening,C2,Can identify the sociocultural implications of most of the language used in colloquial discussions.
understanding-announcements,Communicative language activities,Reception,Oral comprehension,Understanding announcements and instructions,listening,A1,"Can understand instructions addressed carefully and slowly to them and follow short, simple directions."
understanding-announcements,Communicative language activities,Reception,Oral comprehension,Understanding announcements and instructions,listening,A2,"Can catch the main point in short, clear, simple messages and announcements."
understanding-announcements,Communicative language activities,Reception,Oral comprehension,Understanding announcements and instructions,listening,B1,"Can understand simple technical information, such as operating instructions for everyday equipment."
understanding-announcements,Communicative language activities,Reception,Oral comprehension,Understanding announcements and instructions,listening,B2,Can understand announcements and messages on concrete and abstract topics delivered in standard language at normal speed.
understanding-announcements,Communicative language activities,Reception,Oral comprehension,Understanding announcements and instructions,listening,C1,"Can extract specific information from poor quality, distorted public announcements."
understanding-announcements,Communicative language activities,Reception,Oral comprehension,Understanding announcements and instructions,listening,C2,No descriptors available; see C1.
overall-reading,Communicative language activities,Reception,Reading comprehension,Overall reading comprehension,reading,A1,"Can understand very short, simple texts a single phrase at a time, picking up familiar names, words and basic phrases and rereading as required."
overall-reading,Communicative language activities,Reception,Reading comprehension,Overall reading comprehension,reading,A2,"Can understand short, simple texts containing the highest frequency vocabulary, including a proportion of shared international vocabulary items."
overall-reading,Communicative language activities,Reception,Reading comprehension,Overall reading comprehension,reading,B1,Can read straightforward factual texts on subjects related to their field of interest with a satisfactory level of comprehension.
overall-reading,Communicative language activities,Reception,Reading comprehension,Overall reading comprehension,reading,B2,"Can read with a large degree of independence, adapting style and speed of reading to different texts and purposes."
overall-reading,Communicative language activities,Reception,Reading comprehension,Overall reading comprehension,reading,C1,"Can understand in detail lengthy, complex texts, whether or not these relate to their own area of speciality."
overall-reading,Communicative language activities,Reception,Reading comprehension,Overall reading comprehension,reading,C2,"Can understand virtually all types of texts including abstract, structurally complex, or highly colloquial literary and non-literary writings."
reading-correspondence,Communicative language activities,Reception,Reading comprehension,Reading correspondence,reading,A1,"Can understand short, simple messages on postcards and short messages sent via social media."
reading-correspondence,Communicative language activities,Reception,Reading comprehension,Reading correspondence,reading,A2,"Can understand short, simple personal letters and very simple formal e-mails."
reading-correspondence,Communicative language activities,Reception,Reading comprehension,Reading correspondence,reading,B1,"Can understand the description of events, feelings and wishes in personal letters well enough to correspond regularly."
reading-correspondence,Communicative language activities,Reception,Reading comprehension,Reading correspondence,reading,B2,Can read correspondence relating to their field of interest and readily grasp the essential meaning.
reading-correspondence,Communicative language activities,Reception,Reading comprehension,Reading correspondence,reading,C1,Can understand any correspondence given the occasional use of a dictionary.
reading-correspondence,Communicative language activities,Reception,Reading comprehension,Reading correspondence,reading,C2,"Can understand specialised, formal correspondence on a complex topic."
reading-information,Communicative language activities,Reception,Reading comprehension,Reading for information and argument,reading,A1,"Can get an idea of the content of simpler informational material and short, simple descriptions, especially if there is visual support."
reading-information,Communicative language activities,Reception,Reading comprehension,Reading for information and argument,reading,A2,"Can understand texts describing people, places, everyday life and culture, provided they use simple language."
reading-information,Communicative language activities,Reception,Reading comprehension,Reading for information and argument,reading,B1,Can recognise significant points in straightforward news articles on familiar subjects.
reading-information,Communicative language activities,Reception,Reading comprehension,Reading for information and argument,reading,B2,Can understand articles and reports concerned with contemporary problems in which particular stances or viewpoints are adopted.
reading-information,Communicative language activities,Reception,Reading comprehension,Reading for information and argument,reading,C1,"Can understand in detail a wide range of lengthy, complex texts likely to be encountered in social, professional or academic life."
reading-information,Communicative language activities,Reception,Reading comprehension,Reading for information and argument,reading,C2,Can understand the finer points and implications of a complex report or article even outside their area of specialisation.
reading-instructions,Communicative language activities,Reception,Reading comprehension,Reading instructions,reading,A1,"Can follow short, simple written directions (e.g. to go from X to Y)."
reading-instructions,Communicative language activities,Reception,Reading comprehension,Reading instructions,reading,A2,"Can understand regulations, for example safety, when expressed in simple language."
reading-instructions,Communicative language activities,Reception,Reading comprehension,Reading instructions,reading,B1,"Can understand clearly written, straightforward instructions for a piece of equipment."
reading-instructions,Communicative language activities,Reception,Reading comprehension,Reading instructions,reading,B2,"Can understand lengthy, complex instructions in their field, including details on conditions and warnings."
reading-instructions,Communicative language activities,Reception,Reading comprehension,Reading instructions,reading,C1,"Can understand in detail lengthy, complex instructions on a new machine or procedure."
reading-instructions,Communicative language activities,Reception,Reading comprehension,Reading instructions,reading,C2,No descriptors available; see C1.
overall-oral-production,Communicative language activities,Production,Oral production,Overall oral production,speaking,A1,"Can produce simple, mainly isolated phrases about people and places."
overall-oral-production,Communicative language activities,Production,Oral production,Overall oral production,speaking,A2,"Can give a simple description or presentation of people, living or working conditions, daily routines, likes/dislikes."
overall-oral-production,Communicative language activities,Production,Oral production,Overall oral production,speaking,B1,Can reasonably fluently sustain a straightforward description of one of a variety of subjects within their field of interest.
overall-oral-production,Communicative language activities,Production,Oral production,Overall oral production,speaking,B2,"Can give clear, detailed descriptions and presentations on a wide range of subjects related to their field of interest."
overall-oral-production,Communicative language activities,Production,Oral production,Overall oral production,speaking,C1,"Can give clear, detailed descriptions and presentations on complex subjects, integrating sub-themes and rounding off with an appropriate conclusion."
overall-oral-production,Communicative language activities,Production,Oral production,Overall oral production,speaking,C2,"Can produce clear, smoothly flowing, well-structured discourse with an effective logical structure."
